Altium Designer Pick and Place Locations
C:\circuits\Projects\lps_display_rev_10\Project Outputs for lps_display_rev_10\Pick Place for lps_display_rev_10.txt

========================================================================================================================
File Design Information:

Date:       03/08/20
Time:       12:24
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                  Layer       Footprint                             Center-X(mil) Center-Y(mil) Rotation Description                                                                                               
U10        TPS62173DSGT             BottomLayer WSON(8)_2mm_x_2mm                     732.000       1072.000      180      "IC REG BUCK ADJ 0.5A SYNC 8WSON"                                                                         
R18        100K                     BottomLayer RESC0603(1608)_N                      860.000       1183.000      270      "100K 0603"                                                                                               
L1         2.2uH                    BottomLayer INDC2520X10N                          730.000       1204.000      180      "FIXED IND 2.2UH 1.9A 117 MOHM"                                                                           
CN2        PJ-050AH                 BottomLayer PJ-050AH                              342.787       552.488       270      "Power Barrel Connector Jack 2.00mm ID 5.50mm OD Through Hole, Right Angle"                               
C35        "0.1uF 0603 50V"         BottomLayer CAPC0603(1608)_N                      1120.000      748.504       90       "0.1uF 0603 50V"                                                                                          
C10        22uF                     BottomLayer CAPC0603(1608)_M                      614.000       1161.000      90       "CAP CER 22UF 10V 20% 0603"                                                                               
R21        4.7K                     BottomLayer RESC0603(1608)_N                      1330.000      550.000       180      "4.7K 0603"                                                                                               
U2         "OLED Display"           TopLayer    oled_graphic_256X64                   1749.366      1615.069      360      ""                                                                                                        
CS4        Cap_Sense_Pad            TopLayer    CAP_TOUCH_ROUND                       4290.000      300.000       0        ""                                                                                                        
CS3        Cap_Sense_Pad            TopLayer    CAP_TOUCH_ROUND                       2425.000      300.000       0        ""                                                                                                        
CS2        Cap_Sense_Pad            TopLayer    CAP_TOUCH_ROUND                       3240.000      300.000       0        ""                                                                                                        
CS1        Cap_Sense_Pad            TopLayer    CAP_TOUCH_ROUND                       1500.000      300.000       0        ""                                                                                                        
Q3         MMBT3904                 BottomLayer SOT23                                 1110.000      370.000       180      "MMBT3904 NPN "                                                                                           
Q2         DMP3099L-7               BottomLayer SOT23                                 1075.000      540.000       180      "DMP3099L-7 MOSFET P-CH SOT23"                                                                            
LED6       G                        TopLayer    SM-LED-0603                           4283.465      545.000       180      "0603 SMD LED"                                                                                            
LED5       G                        TopLayer    SM-LED-0603                           2426.535      550.000       180      "0603 SMD LED"                                                                                            
LED4       G                        TopLayer    SM-LED-0603                           3236.535      545.000       180      "0603 SMD LED"                                                                                            
U8         AT42QT1070               BottomLayer SOP14                                 2808.504      750.000       180      "QTouch IC"                                                                                               
R54        5.1K                     BottomLayer RESC1608X55X30NL15T15                 3078.000      842.000       90       "ERJ3EKF5101V             SMD Chip Resistor, Thick Film, 5.1 kohm, 75 V, 0603, 100 mW,  1%, ERJ3E Series" 
R53        5.1K                     BottomLayer RESC1608X55X30NL15T15                 2555.000      724.000       180      "ERJ3EKF5101V             SMD Chip Resistor, Thick Film, 5.1 kohm, 75 V, 0603, 100 mW,  1%, ERJ3E Series" 
R52        5.1K                     BottomLayer RESC1608X55X30NL15T15                 2554.000      793.000       180      "ERJ3EKF5101V             SMD Chip Resistor, Thick Film, 5.1 kohm, 75 V, 0603, 100 mW,  1%, ERJ3E Series" 
R51        5.1K                     BottomLayer RESC1608X55X30NL15T15                 2554.000      857.000       180      "ERJ3EKF5101V             SMD Chip Resistor, Thick Film, 5.1 kohm, 75 V, 0603, 100 mW,  1%, ERJ3E Series" 
C43        "0.1uF 0603 50V"         BottomLayer CAPC0603(1608)_N                      2800.000      975.000       180      "0.1uF 0603 50V"                                                                                          
U7         AT42QT1012               BottomLayer SOt-23-6                              1886.181      460.000       180      "CAP QTouch Chip"                                                                                         
R50        1.0K                     BottomLayer RESC0603(1608)_N                      1905.000      285.000       360      "1.0K 0603"                                                                                               
R49        1.0K                     BottomLayer RESC0603(1608)_N                      1805.000      323.504       90       "1.0K 0603"                                                                                               
R48        4.7K                     BottomLayer RESC0603(1608)_N                      3120.000      2340.000      90       "4.7K 0603"                                                                                               
C42        "0.1uF 0603 50V"         BottomLayer CAPC0603(1608)_N                      1905.000      355.000       360      "0.1uF 0603 50V"                                                                                          
